rows,score_import,score_replication
100,0.006170924985781312,0.03578007500618696
231,0.0070494250394403934,0.04457367508439347
533,0.058717125037219375,0.08999212499475107
1232,0.05849862500326708,0.0878537250100635
2848,0.05367665004450828,0.08321674994658679
6579,0.06923650001408532,0.12894790002610534
15199,0.080463350052014,0.22731522505637258
35111,0.17458269995404407,0.2452930749859661
81113,0.4127247250289656,0.5480344000388868
187381,1.028068625018932,1.3229907499626279
432876,2.5172753749066032,3.141251824912615
1000000,6.053955524985213,7.536135574977379
